customer_no,survey_id_2,datesubmit_2,sample2_2,sample3_2,countmisq1_2,countmisq2_2,q1ar_2,q1br_2,q1cr_2,q1dr_2,q1er_2,q1fr_2,q1gr_2,q1hr_2,q1ir_2,q1jr_2,q1kr_2,q2ar_2,q2br_2,q2cr_2,q2dr_2,q2er_2,q2fr_2,q2gr_2,q2hr_2,q2ir_2,q2jr_2,q2kr_2,q2lr_2,q1sum_2,q2sum_2,q1opera_sum,q1musical_sum,q1recital_sum,q2opera_sum,q2musical_sum,q2recital_sum,age3,q1category,q1opera,q1musical,q1recital,q1program_sum,q2opera,q2musical,q2recital,q2program_sum,misq1r_2
785075,133,2/13/17,1,1,5,12,1,1,0,0,0,1,1,0,0,1,1, , , , , , , , , , , , ,6, ,2,0,2, , , ,2,5,1,0,1,4,0,0,0, ,0
785752,51,2/4/17,1,1,11,9, , , , , , , , , , , ,0,0,0,1,1,0,0,0,0,0,0,1, ,3, , , ,0,2,0,3, ,0,0,0, ,0,1,0,2,11
786017,48,2/4/17,1,1,11,0, , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1, ,12, , , ,3,3,4,2, ,0,0,0, ,1,1,1,5,11
786756,143,2/14/17,1,1,11,8, , , , , , , , , , , ,1,0,0,1,0,1,1,0,0,0,0,0, ,4, , , ,1,2,1,2, ,0,0,0, ,1,1,1,3,11
788205,47,2/4/17,1,1,11,9, , , , , , , , , , , ,0,0,0,1,1,0,0,0,0,1,0,0, ,3, , , ,0,2,1,3, ,0,0,0, ,0,1,1,2,11
788333,123,2/13/17,1,1,7,12,0,0,0,1,1,0,0,0,1,0,1, , , , , , , , , , , , ,4, ,0,2,1, , , ,1,5,0,1,1,3,0,0,0, ,0
788732,96,2/6/17,1,1,11,6, , , , , , , , , , , ,1,1,0,1,1,1,0,0,0,1,0,0, ,6, , , ,2,3,1,1, ,0,0,0, ,1,1,1,3,11
789285,141,2/13/17,1,1,8,12,0,0,0,1,1,1,0,0,0,0,0, , , , , , , , , , , , ,3, ,0,2,1, , , ,2,3,0,1,1,2,0,0,0, ,0
789311,81,2/5/17,1,1,9,12,0,0,0,1,1,0,0,0,0,0,0, , , , , , , , , , , , ,2, ,0,2,0, , , ,2,2,0,1,0,1,0,0,0, ,0
790071,122,2/13/17,1,1,11,8, , , , , , , , , , , ,1,0,0,1,0,1,0,1,0,0,0,0, ,4, , , ,1,2,1,3, ,0,0,0, ,1,1,1,3,11
791523,131,2/13/17,1,1,5,12,1,1,0,1,1,1,1,0,0,0,0, , , , , , , , , , , , ,6, ,2,2,2, , , ,1,3,1,1,1,3,0,0,0, ,0
795682,74,2/5/17,1,1,11,10, , , , , , , , , , , ,0,0,0,1,1,0,0,0,0,0,0,0, ,2, , , ,0,2,0,3, ,0,0,0, ,0,1,0,1,11
800732,86,2/6/17,1,1,7,12,1,0,0,1,0,1,0,0,1,0,0, , , , , , , , , , , , ,4, ,1,1,2, , , ,1,3,1,1,1,3,0,0,0, ,0
811630,42,2/4/17,1,1,7,12,1,0,0,1,1,0,0,0,1,0,0, , , , , , , , , , , , ,4, ,1,2,1, , , ,3,3,1,1,1,3,0,0,0, ,0
1114556,75,2/5/17,1,1,11,6, , , , , , , , , , , ,1,0,0,1,0,1,1,1,0,1,0,0, ,6, , , ,1,2,3,3, ,0,0,0, ,1,1,1,3,11
1115088,18,2/4/17,1,1,9,12,0,0,0,1,0,0,0,0,0,0,1, , , , , , , , , , , , ,2, ,0,1,0, , , ,3,5,0,1,0,2,0,0,0, ,0
1118463,94,2/6/17,1,1,0,12,1,1,1,1,1,1,1,1,1,1,1, , , , , , , , , , , , ,11, ,3,2,4, , , ,1,5,1,1,1,5,0,0,0, ,0
 ,1,1/27/17,2,1,6,12,0,1,0,1,1,0,0,0,0,1,1, , , , , , , , , , , , ,5, ,1,2,0, , , ,3,5,1,1,0,4,0,0,0, ,0
 ,242,2/4/17,2,1,7,12,1,0,0,0,1,1,0,0,0,0,1, , , , , , , , , , , , ,4, ,1,1,1, , , ,3,5,1,1,1,4,0,0,0, ,0
